LSOA Code,WIMD 2019 
W01001525,343
W01001526,302
W01001527,584
W01001528,674
W01001529,381
W01001530,40
W01001531,319
W01001532,283
W01001533,1814
W01001534,1060
W01001535,1401
W01001536,174
W01001537,1467
W01001538,259
W01001539,449
W01001540,1117
W01001541,530
W01001542,1505
W01001543,1613
W01001545,1622
W01001546,377
W01001548,1231
W01001549,1499
W01001551,797
W01001552,1817
W01001553,1212
W01001554,1427
W01001555,1587
W01001556,1301
W01001557,851
W01001558,676
W01001559,1490
W01001560,1391
W01001561,1803
W01001562,959
W01001563,1488
W01001564,1106
W01001565,1348
W01001566,756
W01001567,828
W01001568,1269
W01001569,1370
W01001571,1261
W01001572,1580
W01001573,1614
W01001574,1720
W01001575,1291
W01001576,995
W01001577,425
W01001578,1560
W01001579,1425
W01001580,1071
W01001581,1463
W01001582,1295
W01001583,1382
W01001584,1252
W01001585,1903
W01001586,1834
W01001587,1004
W01001588,1590
W01001589,932
W01001590,1608
W01001591,1804
W01001592,450
W01001593,1028
W01001594,1248
W01001595,1512
W01001596,1517
W01001597,1842
W01001598,656
W01001599,986
W01001600,1819
W01001601,187
W01001602,1761
W01001603,838
W01001604,1657
W01001605,459
W01001606,1477
W01001607,72
W01001608,1426
W01001609,111
W01001610,393
W01001611,834
W01001612,772
W01001613,1039
W01001614,226
W01001615,817
W01001616,1353
W01001617,47
W01001618,204
W01001619,77
W01001620,289
W01001621,169
W01001622,644
W01001623,1526
W01001624,1698
W01001625,1331
W01001626,1413
W01001627,1762
W01001628,556
W01001629,1124
W01001630,314
W01001631,1524
W01001632,630
W01001633,166
W01001634,588
W01001635,1663
W01001636,1774
W01001637,1509
W01001638,1871
W01001639,1702
W01001640,1595
W01001641,1660
W01001642,373
W01001643,171
W01001644,778
W01001645,620
W01001646,134
W01001647,740
W01001648,750
W01001649,913
W01001650,760
W01001651,1710
W01001652,79
W01001653,1627
W01001654,1528
W01001655,1666
W01001657,1563
W01001658,1522
W01001659,21
W01001660,241
W01001661,88
W01001662,10
W01001663,329
W01001664,146
W01001665,645
W01001666,102
W01001667,69
W01001668,183
W01001669,1890
W01001670,1789
W01001671,804
W01001672,1249
W01001673,1816
W01001674,1127
W01001675,865
W01001676,330
W01001677,1276
W01001678,421
W01001679,1386
W01001680,956
W01001681,119
W01001682,561
W01001683,1005
W01001684,840
W01001685,339
W01001686,808
W01001687,135
W01001688,712
W01001689,39
W01001690,317
W01001691,161
W01001692,178
W01001693,112
W01001694,184
W01001695,361
W01001696,64
W01001697,238
W01001698,173
W01001699,150
W01001702,564
W01001703,104
W01001704,27
W01001705,234
W01001706,613
W01001707,116
W01001708,91
W01001709,786
W01001710,669
W01001711,324
W01001712,1062
W01001713,670
W01001714,1637
W01001715,1473
W01001716,1345
W01001717,879
W01001718,895
W01001719,1422
W01001720,866
W01001721,911
W01001722,1184
W01001724,806
W01001725,886
W01001726,958
W01001727,1756
W01001728,1896
W01001729,1717
W01001730,1850
W01001731,1780
W01001732,1775
W01001733,1818
W01001734,1889
W01001735,1798
W01001736,1829
W01001737,42
W01001738,28
W01001739,24
W01001740,30
W01001741,14
W01001742,50
W01001743,1403
W01001744,92
W01001745,1594
W01001746,128
W01001747,1510
W01001748,573
W01001749,638
W01001750,255
W01001751,181
W01001752,1491
W01001753,151
W01001754,1086
W01001755,1379
W01001756,1019
W01001757,1285
W01001758,1362
W01001759,796
W01001760,666
W01001761,219
W01001762,73
W01001764,347
W01001765,323
W01001766,256
W01001767,426
W01001768,240
W01001769,1891
W01001770,1527
W01001771,1813
W01001772,1628
W01001773,1592
W01001774,1855
W01001775,1486
W01001776,1747
W01001777,1827
W01001778,1837
W01001779,1815
W01001780,1809
W01001781,1531
W01001782,1782
W01001783,1840
W01001784,1676
W01001785,189
W01001786,919
W01001787,436
W01001788,200
W01001789,1389
W01001790,608
W01001791,1492
W01001792,580
W01001793,1854
W01001794,1824
W01001795,1883
W01001796,1679
W01001797,1601
W01001798,1791
W01001799,1796
W01001800,605
W01001802,618
W01001803,277
W01001804,354
W01001805,435
W01001806,1013
W01001807,75
W01001808,94
W01001809,877
W01001810,218
W01001811,63
W01001812,570
W01001813,139
W01001814,984
W01001815,1361
W01001816,582
W01001817,831
W01001818,1190
W01001819,1823
W01001820,1623
W01001821,1654
W01001822,1344
W01001823,1699
W01001824,856
W01001825,884
W01001826,1701
W01001827,1811
W01001828,1656
W01001829,634
W01001830,368
W01001831,812
W01001832,514
W01001833,622
W01001834,531
W01001835,89
W01001836,1140
W01001837,703
W01001838,1095
W01001839,827
W01001840,1164
W01001841,1673
W01001842,1758
W01001843,1700
W01001844,1616
W01001846,1745
W01001847,1836
W01001848,1810
W01001849,1794
W01001850,1860
W01001851,1703
W01001852,1800
W01001853,1828
W01001854,1741
W01001855,140
W01001856,108
W01001857,66
W01001858,1316
W01001859,1229
W01001860,1246
W01001861,1121
W01001862,327
W01001863,829
W01001864,1521
